LOT,OPN,ENTITY,QTY,LOT_ABORT_FLAG,RETICLE,LOT_ENTITY_PROCESS_DURATION,ENT_LOT_PROCESS,PRODUCT_DESCRIPTION,PRODUCT,DOTPROCESS,ROUTE,LOT_TYPE,OPER_SHORT_DESC,CURRENT_HOTLOT,LOT_RECIPE,LAST_WAFER_END_DATE,FIRST_WAFER_END_DATE,ENT_LOT_PRIORITY
W4469000A,172748,OXS258,12,N,,213.20,1225.7,EMIB 1.7 Test Chip C2,3XGNZV B C,1225.7,FL25.70AZW_SNIP_WLP284033-2_0,TD,E*#5PDOX5,N,SYSTEM/LPC/P-P2-PAD,2025-01-06 13:20:04,2025-01-06 10:25:17,0
W4469000A,197573,OXS266,12,N,,59.60,1225.7,EMIB 1.7 Test Chip C2,3XGNZV B C,1225.7,FL25.70AZW_SNIP_WLP284033-2_0,TD,E*#5PDCAP7,N,SYSTEM/LPC/E-P2-EMIB2-CP88,2025-01-06 05:30:23,2025-01-06 05:03:36,0
W4469050,172748,OXS264,13,N,,215.88,1225.7,3XRBV Plummer Hill A0,3XRBVV   A,1225.7,FL25.70ECW,TD,E*#5PDOX5,N,SYSTEM/LPC/P-P2-PAD,2025-01-09 19:58:33,2025-01-09 16:47:59,3
W4469050,187614,CVD271,25,N,,194.25,1225.7,3XRBV Plummer Hill A0,3XRBVV   A,1225.7,FL25.70ECW,TD,T*#5PADOX7,N,EMIB O5,2025-01-07 02:50:59,2025-01-06 23:49:09,0
W4469050,197573,OXS266,13,N,,61.70,1225.7,3XRBV Plummer Hill A0,3XRBVV   A,1225.7,FL25.70ECW,TD,E*#5PDCAP7,N,SYSTEM/LPC/E-P1-EMIB2-CP88,2025-01-09 16:10:19,2025-01-09 15:40:56,3
W4469050,234511,CVD290,25,N,,102.84,1225.7,3XRBV Plummer Hill A0,3XRBVV   A,1225.7,FL25.70ECW,TD,T*#5TV1OXE,N,EMIB O9,2025-01-06 21:06:45,2025-01-06 19:32:03,0
W4469050A,172748,OXS265,12,N,,209.01,1225.7,3XRBV Plummer Hill A0,3XRBVV   A,1225.7,FL25.70ECW_SNIP_WLP324020-2_0,TD,E*#5PDOX5,N,SYSTEM/LPC/P-P2-PAD,2025-01-09 21:14:57,2025-01-09 18:20:16,3
W4469050A,197573,OXS266,12,N,,60.41,1225.7,3XRBV Plummer Hill A0,3XRBVV   A,1225.7,FL25.70ECW_SNIP_WLP324020-2_0,TD,E*#5PDCAP7,N,SYSTEM/LPC/E-P2-EMIB2-CP88,2025-01-09 17:03:41,2025-01-09 16:36:37,3
W4472150,172748,OXS264,13,N,,122.65,1225.7,Matlock Bridge 12 B0,8PMQCV   B,1225.7,FL25.7P8BH,PROD,E*#5PDOX5,N,SYSTEM/LPC/P-DC-PAD,2025-01-18 14:48:33,2025-01-18 13:12:53,0
W4472150,187614,CVD283,25,N,,214.73,1225.7,Matlock Bridge 12 B0,8PMQCV   B,1225.7,FL25.7P8BH,PROD,T*#5PADOX7,N,EMIB O5,2025-01-17 12:10:59,2025-01-17 08:49:15,0
W4472150,197573,OXS266,13,N,,62.81,1225.7,Matlock Bridge 12 B0,8PMQCV   B,1225.7,FL25.7P8BH,PROD,E*#5PDCAP7,N,SYSTEM/LPC/E-P1-EMIB2-CP88,2025-01-18 12:34:09,2025-01-18 12:04:44,0
W4472150,234511,CVD276,25,Y,,103.61,1225.7,Matlock Bridge 12 B0,8PMQCV   B,1225.7,FL25.7P8BH,PROD,T*#5TV1OXE,N,EMIB O9,2025-01-16 15:39:42,2025-01-16 14:04:18,0
W4472150A,172748,OXS258,12,N,,113.00,1225.7,Matlock Bridge 12 B0,8PMQCV   B,1225.7,FL25.7P8BH_SNIP_WLP284011-2_1,PROD,E*#5PDOX5,N,SYSTEM/LPC/P-DC-PAD,2025-01-18 16:36:12,2025-01-18 15:08:17,0
W4472150A,197573,OXS270,12,N,,60.47,1225.7,Matlock Bridge 12 B0,8PMQCV   B,1225.7,FL25.7P8BH_SNIP_WLP284011-2_1,PROD,E*#5PDCAP7,N,SYSTEM/LPC/E-P2-EMIB2-CP88,2025-01-18 13:34:00,2025-01-18 13:07:01,0
W4472160,172748,OXS274,13,N,,122.91,1225.7,Matlock Bridge 12 B0,8PMQCV   B,1225.7,FL25.7P8BH,PROD,E*#5PDOX5,N,SYSTEM/LPC/P-DC-PAD,2025-01-07 02:57:29,2025-01-07 01:22:11,0
W4472160,187614,CVD284,25,N,,197.92,1225.7,Matlock Bridge 12 B0,8PMQCV   B,1225.7,FL25.7P8BH,PROD,T*#5PADOX7,N,EMIB O5,2025-01-05 10:32:06,2025-01-05 07:27:11,0
W4472160,197573,OXS270,13,N,,62.22,1225.7,Matlock Bridge 12 B0,8PMQCV   B,1225.7,FL25.7P8BH,PROD,E*#5PDCAP7,N,SYSTEM/LPC/E-P1-EMIB2-CP88,2025-01-06 20:13:14,2025-01-06 19:43:32,0
W4472160,234511,CVD290,25,N,,102.13,1225.7,Matlock Bridge 12 B0,8PMQCV   B,1225.7,FL25.7P8BH,PROD,T*#5TV1OXE,N,EMIB O9,2025-01-05 03:44:57,2025-01-05 02:10:57,0
W4472160A,172748,OXS265,12,N,,228.11,1225.7,Matlock Bridge 12 B0,8PMQCV   B,1225.7,FL25.7P8BH_SNIP_WLP284011-2_1,PROD,E*#5PDOX5,N,SYSTEM/LPC/P-P2-PAD,2025-01-07 06:12:06,2025-01-07 03:17:27,0
W4472160A,197573,OXS266,12,N,,59.05,1225.7,Matlock Bridge 12 B0,8PMQCV   B,1225.7,FL25.7P8BH_SNIP_WLP284011-2_1,PROD,E*#5PDCAP7,N,SYSTEM/LPC/E-P2-EMIB2-CP88,2025-01-06 21:04:59,2025-01-06 20:38:13,0
W4472170,172748,OXS264,13,N,,120.31,1225.7,Matlock Bridge 12 B0,8PMQCV   B,1225.7,FL25.7P8BH,PROD,E*#5PDOX5,N,SYSTEM/LPC/P-DC-PAD,2024-12-21 17:28:58,2024-12-21 15:53:41,3
W4472170,187614,CVD276,25,N,,199.27,1225.7,Matlock Bridge 12 B0,8PMQCV   B,1225.7,FL25.7P8BH,PROD,T*#5PADOX7,N,EMIB O5,2024-12-21 00:16:53,2024-12-20 21:13:11,3
W4472170,197573,OXS266,13,N,,61.52,1225.7,Matlock Bridge 12 B0,8PMQCV   B,1225.7,FL25.7P8BH,PROD,E*#5PDCAP7,N,SYSTEM/LPC/E-P1-EMIB2-CP88,2024-12-21 15:21:46,2024-12-21 14:52:31,3
W4472170,234511,CVD276,25,N,,103.59,1225.7,Matlock Bridge 12 B0,8PMQCV   B,1225.7,FL25.7P8BH,PROD,T*#5TV1OXE,N,EMIB O9,2024-12-20 16:57:31,2024-12-20 15:22:08,3
W4472170A,172748,OXS274,12,N,,104.79,1225.7,Matlock Bridge 12 B0,8PMQCV   B,1225.7,FL25.7P8BH_SNIP_WLP284011-2_1,PROD,E*#5PDOX5,N,SYSTEM/LPC/P-DC-PAD,2024-12-21 17:19:27,2024-12-21 15:59:39,3
W4472170A,197573,OXS266,12,N,,59.32,1225.7,Matlock Bridge 12 B0,8PMQCV   B,1225.7,FL25.7P8BH_SNIP_WLP284011-2_1,PROD,E*#5PDCAP7,N,SYSTEM/LPC/E-P2-EMIB2-CP88,2024-12-21 15:29:34,2024-12-21 15:02:50,3
W4472180,172748,OXS260,13,N,,224.06,1225.7,Matlock Bridge 12 B0,8PMQCV   B,1225.7,FL25.7P8BH,PROD,E*#5PDOX5,N,SYSTEM/LPC/P-P1-PAD,2025-01-19 05:32:29,2025-01-19 02:21:58,0
W4472180,187614,CVD410,25,N,,191.15,1225.7,Matlock Bridge 12 B0,8PMQCV   B,1225.7,FL25.7P8BH,PROD,T*#5PADOX7,N,EMIB O5,2025-01-18 00:24:04,2025-01-17 21:25:29,0
W4472180,197573,OXS270,13,N,,62.18,1225.7,Matlock Bridge 12 B0,8PMQCV   B,1225.7,FL25.7P8BH,PROD,E*#5PDCAP7,N,SYSTEM/LPC/E-P1-EMIB2-CP88,2025-01-19 01:24:14,2025-01-19 00:54:29,0
W4472180,234511,CVD274,25,N,,104.36,1225.7,Matlock Bridge 12 B0,8PMQCV   B,1225.7,FL25.7P8BH,PROD,T*#5TV1OXE,N,EMIB O9,2025-01-16 23:11:45,2025-01-16 21:35:35,0
W4472180A,172748,OXS274,12,N,,200.03,1225.7,Matlock Bridge 12 B0,8PMQCV   B,1225.7,FL25.7P8BH_SNIP_WLP284011-2_1,PROD,E*#5PDOX5,N,SYSTEM/LPC/P-P2-PAD,2025-01-19 06:38:08,2025-01-19 03:43:36,0
W4472180A,197573,OXS270,12,N,,58.79,1225.7,Matlock Bridge 12 B0,8PMQCV   B,1225.7,FL25.7P8BH_SNIP_WLP284011-2_1,PROD,E*#5PDCAP7,N,SYSTEM/LPC/E-P2-EMIB2-CP88,2025-01-19 02:17:43,2025-01-19 01:50:44,0
W4472460,172748,OXS264,13,N,,120.29,1225.7,Matlock Bridge 12 B0,8PMQCV   B,1225.7,FL25.7P8BH,PROD,E*#5PDOX5,N,SYSTEM/LPC/P-DC-PAD,2025-01-12 20:31:41,2025-01-12 18:56:29,7
W4472460,187614,CVD271,25,N,,195.82,1225.7,Matlock Bridge 12 B0,8PMQCV   B,1225.7,FL25.7P8BH,PROD,T*#5PADOX7,N,EMIB O5,2025-01-12 07:24:06,2025-01-12 04:20:41,7
W4472460,197573,OXS270,13,N,,62.98,1225.7,Matlock Bridge 12 B0,8PMQCV   B,1225.7,FL25.7P8BH,PROD,E*#5PDCAP7,N,SYSTEM/LPC/E-P2-EMIB2-CP88,2025-01-12 18:25:41,2025-01-12 17:56:18,7
W4472460,234511,CVD284,25,N,,103.21,1225.7,Matlock Bridge 12 B0,8PMQCV   B,1225.7,FL25.7P8BH,PROD,T*#5TV1OXE,N,EMIB O9,2025-01-09 23:54:33,2025-01-09 22:19:31,7
W4472460A,172748,OXS258,12,N,,112.32,1225.7,Matlock Bridge 12 B0,8PMQCV   B,1225.7,FL25.7P8BH_SNIP_WLP284011-2_1,PROD,E*#5PDOX5,N,SYSTEM/LPC/P-DC-PAD,2025-01-12 20:22:52,2025-01-12 18:56:03,7
W4472460A,197573,OXS270,12,N,,60.41,1225.7,Matlock Bridge 12 B0,8PMQCV   B,1225.7,FL25.7P8BH_SNIP_WLP284011-2_1,PROD,E*#5PDCAP7,N,SYSTEM/LPC/E-P1-EMIB2-CP88,2025-01-12 18:24:16,2025-01-12 17:56:57,7
W4489390,172748,OXS274,13,N,,120.52,1225.7,3XGNX Falcon Shores TC no MIM,3XGNXV   A,1225.7,FL25.70EBW,TD,E*#5PDOX5,N,SYSTEM/LPC/P-DC-PAD,2025-01-21 11:45:18,2025-01-21 10:09:57,0
W4489390,187614,CVD283,25,N,,198.52,1225.7,3XGNX Falcon Shores TC no MIM,3XGNXV   A,1225.7,FL25.70EBW,TD,T*#5PADOX7,N,EMIB O5,2025-01-21 01:15:55,2025-01-20 22:10:26,0
W4489390,197573,OXS270,13,N,,63.11,1225.7,3XGNX Falcon Shores TC no MIM,3XGNXV   A,1225.7,FL25.70EBW,TD,E*#5PDCAP7,N,SYSTEM/LPC/E-P1-EMIB2-CP88,2025-01-21 09:38:56,2025-01-21 09:09:09,0
W4489390,234511,CVD283,25,N,,105.33,1225.7,3XGNX Falcon Shores TC no MIM,3XGNXV   A,1225.7,FL25.70EBW,TD,T*#5TV1OXE,N,EMIB O9,2025-01-20 18:50:46,2025-01-20 17:13:48,0
W4489390A,172748,OXS258,12,N,,112.91,1225.7,3XGNX Falcon Shores TC no MIM,3XGNXV   A,1225.7,FL25.70EBW_SNIP_WLP294205-2_0,TD,E*#5PDOX5,N,SYSTEM/LPC/P-DC-PAD,2025-01-21 11:39:45,2025-01-21 10:11:54,0
W4489390A,197573,OXS270,12,N,,59.82,1225.7,3XGNX Falcon Shores TC no MIM,3XGNXV   A,1225.7,FL25.70EBW_SNIP_WLP294205-2_0,TD,E*#5PDCAP7,N,SYSTEM/LPC/E-P2-EMIB2-CP88,2025-01-21 09:36:25,2025-01-21 09:09:40,0
W4489400,172748,OXS260,12,N,,200.08,1225.7,3XGNX Falcon Shores TC no MIM,3XGNXV   A,1225.7,FL25.70EBW,TD,E*#5PDOX5,N,SYSTEM/LPC/P-P1-PAD,2025-01-18 15:56:40,2025-01-18 13:01:59,0
W4489400,187614,CVD274,23,N,,186.09,1225.7,3XGNX Falcon Shores TC no MIM,3XGNXV   A,1225.7,FL25.70EBW,TD,T*#5PADOX7,N,EMIB O5,2025-01-17 03:04:18,2025-01-17 00:10:49,0
W4489400,197573,OXS270,12,N,,60.63,1225.7,3XGNX Falcon Shores TC no MIM,3XGNXV   A,1225.7,FL25.70EBW,TD,E*#5PDCAP7,N,SYSTEM/LPC/E-P1-EMIB2-CP88,2025-01-18 12:32:34,2025-01-18 12:05:21,0
W4489400,234511,CVD283,23,N,,102.76,1225.7,3XGNX Falcon Shores TC no MIM,3XGNXV   A,1225.7,FL25.70EBW,TD,T*#5TV1OXE,N,EMIB O9,2025-01-16 20:04:46,2025-01-16 18:30:30,0
W4489400A,172748,OXS265,11,N,,184.47,1225.7,3XGNX Falcon Shores TC no MIM,3XGNXV   A,1225.7,FL25.70EBW_SNIP_WLP294205-2_0,TD,E*#5PDOX5,N,SYSTEM/LPC/P-P2-PAD,2025-01-18 15:41:35,2025-01-18 13:02:42,0
W4489400A,197573,OXS270,11,N,,57.23,1225.7,3XGNX Falcon Shores TC no MIM,3XGNXV   A,1225.7,FL25.70EBW_SNIP_WLP294205-2_0,TD,E*#5PDCAP7,N,SYSTEM/LPC/E-P2-EMIB2-CP88,2025-01-18 12:29:55,2025-01-18 12:05:51,0
W4489410,172748,OXS258,13,N,,129.70,1225.7,3DGNZ Falcon Shores TC,3DGNZV B C,1225.7,FL25.7E8CA,TD,E*#5PDOX5,N,SYSTEM/LPC/P-DC-PAD,2025-01-20 21:45:41,2025-01-20 20:10:21,0
W4489410,187614,CVD283,25,N,,200.82,1225.7,3DGNZ Falcon Shores TC,3DGNZV B C,1225.7,FL25.7E8CA,TD,T*#5PADOX7,N,EMIB O5,2025-01-19 18:04:14,2025-01-19 14:56:13,0
W4489410,197573,OXS270,13,N,,62.13,1225.7,3DGNZ Falcon Shores TC,3DGNZV B C,1225.7,FL25.7E8CA,TD,E*#5PDCAP7,N,SYSTEM/LPC/E-P1-EMIB2-CP88,2025-01-20 15:35:32,2025-01-20 15:05:51,0
W4489410,234511,CVD283,25,N,,122.95,1225.7,3DGNZ Falcon Shores TC,3DGNZV B C,1225.7,FL25.7E8CA,TD,T*#5TV1OXE,N,EMIB O9,2025-01-19 12:32:05,2025-01-19 10:37:19,0
W4489410A,172748,OXS258,12,N,,117.69,1225.7,3DGNZ Falcon Shores TC,3DGNZV B C,1225.7,FL25.7E8CA_SNIP_WLP305641-2_0,TD,E*#5PDOX5,N,SYSTEM/LPC/P-DC-PAD,2025-01-20 19:49:03,2025-01-20 18:16:59,0
W4489410A,197573,OXS266,12,N,,60.18,1225.7,3DGNZ Falcon Shores TC,3DGNZV B C,1225.7,FL25.7E8CA_SNIP_WLP305641-2_0,TD,E*#5PDCAP7,N,SYSTEM/LPC/E-P2-EMIB2-CP88,2025-01-20 15:31:13,2025-01-20 15:04:28,0
W4499600,172748,OXS274,13,N,,120.32,1225.7,3XGNX Falcon Shores TC no MIM,3XGNXV   A,1225.7,FL25.70EBW,TD,E*#5PDOX5,N,SYSTEM/LPC/P-DC-PAD,2025-01-30 20:22:56,2025-01-30 18:47:43,0
W4499600,187614,CVD271,25,N,,195.85,1225.7,3XGNX Falcon Shores TC no MIM,3XGNXV   A,1225.7,FL25.70EBW,TD,T*#5PADOX7,N,EMIB O5,2025-01-26 16:59:27,2025-01-26 13:56:32,0
W4499600,194997,SDJ111,25,N,3XGNXAPAD0MB2,27.58,1225.7,3XGNX Falcon Shores TC no MIM,3XGNXV   A,1225.7,FL25.70EBW,TD,L #5PDSED7,N,"L-8690-50KD-B +?Product/3XGNXA_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#3XGNXAPAD0MB2,FULL0(EX=-1,FC=0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;SRCFW=D2;RESIST=AM;LinkMode=NoLotGene}",2025-01-28 04:05:06,2025-01-28 03:52:25,0
W4499600,197573,OXS266,13,N,,63.85,1225.7,3XGNX Falcon Shores TC no MIM,3XGNXV   A,1225.7,FL25.70EBW,TD,E*#5PDCAP7,N,SYSTEM/LPC/E-P2-EMIB2-CP88,2025-01-30 18:16:26,2025-01-30 17:47:06,0
W4499600,234511,CVD274,25,N,,104.88,1225.7,3XGNX Falcon Shores TC no MIM,3XGNXV   A,1225.7,FL25.70EBW,TD,T*#5TV1OXE,N,EMIB O9,2025-01-23 01:11:54,2025-01-22 23:35:26,0
W4499600A,172748,OXS258,12,N,,105.23,1225.7,3XGNX Falcon Shores TC no MIM,3XGNXV   A,1225.7,FL25.70EBW_SNIP_WLP294205-2_0,TD,E*#5PDOX5,N,SYSTEM/LPC/P-DC-PAD,2025-01-30 22:07:12,2025-01-30 20:47:14,0
W4499600A,197573,OXS266,12,N,,59.02,1225.7,3XGNX Falcon Shores TC no MIM,3XGNXV   A,1225.7,FL25.70EBW_SNIP_WLP294205-2_0,TD,E*#5PDCAP7,N,SYSTEM/LPC/E-P2-EMIB2-CP88,2025-01-30 20:16:20,2025-01-30 19:49:35,0
W4499600R2,194997,SDJ111,1,N,3XGNXAPAD0MB2,13.21,1225.7,3XGNX Falcon Shores TC no MIM,3XGNXV   A,1225.7,FL25.70EBW_SNIP_WLP397112-4_0,TD,L #5PDSED7,N,"L-8690-50KD-B +?Product/3XGNXA_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#3XGNXAPAD0MB2,FULL0(EX=-1,FC=0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;SRCFW=D2;RESIST=AM;LinkMode=NoLotGene}",2025-01-28 12:56:01,2025-01-28 12:56:01,0
W4509750J,172748,OXS260,11,N,,184.08,1225.7,3XGNX Falcon Shores TC no MIM,3XGNXV   A,1225.7,FL25.70EBW_SNIP_WLP399374-9_6,TD,E*#5PDOX5,N,SYSTEM/LPC/P-P1-PAD,2025-02-03 10:36:27,2025-02-03 07:57:45,0
W4509750J,197573,OXS270,11,N,,57.22,1225.7,3XGNX Falcon Shores TC no MIM,3XGNXV   A,1225.7,FL25.70EBW_SNIP_WLP399374-9_6,TD,E*#5PDCAP7,N,SYSTEM/LPC/E-P2-EMIB2-CP88,2025-02-03 07:28:21,2025-02-03 07:04:07,0
W450975A,172748,OXS264,12,N,,114.77,1225.7,3XGNX Falcon Shores TC no MIM,3XGNXV   A,1225.7,FL25.70EBW_SNIP_WLP399374-5_6,TD,E*#5PDOX5,N,SYSTEM/LPC/P-DC-PAD,2025-02-03 10:10:05,2025-02-03 08:40:16,0
W450975A,187614,CVD283,23,N,,211.97,1225.7,3XGNX Falcon Shores TC no MIM,3XGNXV   A,1225.7,FL25.70EBW_SNIP_WLP399374-5_6,TD,T*#5PADOX7,N,EMIB O5,2025-02-02 17:20:30,2025-02-02 14:01:42,0
W450975A,194997,SDJ111,23,N,3XGNXAPAD0MB2,33.34,1225.7,3XGNX Falcon Shores TC no MIM,3XGNXV   A,1225.7,FL25.70EBW_SNIP_WLP399374-5_6,TD,L #5PDSED7,N,"L-8690-50KD-B +?Product/3XGNXA_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#3XGNXAPAD0MB2,FULL0(EX=-1,FC=0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;SRCFW=D2;RESIST=AM;LinkMode=NoLotGene}",2025-02-03 00:19:59,2025-02-03 00:07:02,0
W450975A,197573,OXS270,12,N,,60.50,1225.7,3XGNX Falcon Shores TC no MIM,3XGNXV   A,1225.7,FL25.70EBW_SNIP_WLP399374-5_6,TD,E*#5PDCAP7,N,SYSTEM/LPC/E-P1-EMIB2-CP88,2025-02-03 07:30:52,2025-02-03 07:03:37,0
W450975A,234511,CVD284,23,N,,100.05,1225.7,3XGNX Falcon Shores TC no MIM,3XGNXV   A,1225.7,FL25.70EBW_SNIP_WLP399374-5_6,TD,T*#5TV1OXE,N,EMIB O9,2025-02-02 10:16:58,2025-02-02 08:45:07,0
W5010630,172748,OXS265,13,N,,224.79,1225.7,Matlock Bridge 36 A0,8PQ3CV   A,1225.7,FL25.7P8BS,PROD,E*#5PDOX5,N,SYSTEM/LPC/P-P2-PAD,2025-02-06 16:00:17,2025-02-06 12:49:50,7
W5010630,187614,CVD413,25,N,,192.08,1225.7,Matlock Bridge 36 A0,8PQ3CV   A,1225.7,FL25.7P8BS,PROD,T*#5PADOX7,N,EMIB O5,2025-02-04 06:59:11,2025-02-04 03:59:31,7
W5010630,194997,SDJ111,25,N,8PQ3CAPAD0MA1,28.62,1225.7,Matlock Bridge 36 A0,8PQ3CV   A,1225.7,FL25.7P8BS,PROD,L #5PDSED7,N,"L-8690-50KD-B +?Product/8PQ3CA_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PQ3CAPAD0MA1,FULL0(EX=-1,FC=0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;SRCFW=D2;RESIST=AM;LinkMode=NoLotGene}",2025-02-06 02:03:53,2025-02-06 01:50:13,7
W5010630,197573,OXS270,13,N,,62.92,1225.7,Matlock Bridge 36 A0,8PQ3CV   A,1225.7,FL25.7P8BS,PROD,E*#5PDCAP7,N,SYSTEM/LPC/E-P2-EMIB2-CP88,2025-02-06 09:00:07,2025-02-06 08:30:39,7
W5010630,234511,CVD283,25,N,,105.38,1225.7,Matlock Bridge 36 A0,8PQ3CV   A,1225.7,FL25.7P8BS,PROD,T*#5TV1OXE,N,EMIB O9,2025-02-04 01:25:58,2025-02-03 23:48:46,7
W5010630A,172748,OXS260,12,N,,208.40,1225.7,Matlock Bridge 36 A0,8PQ3CV   A,1225.7,FL25.7P8BS_SNIP_WLP284152-2_0,PROD,E*#5PDOX5,N,SYSTEM/LPC/P-P1-PAD,2025-02-06 17:28:15,2025-02-06 14:33:37,7
W5010630A,197573,OXS270,12,N,,59.68,1225.7,Matlock Bridge 36 A0,8PQ3CV   A,1225.7,FL25.7P8BS_SNIP_WLP284152-2_0,PROD,E*#5PDCAP7,N,SYSTEM/LPC/E-P1-EMIB2-CP88,2025-02-06 09:01:58,2025-02-06 08:34:43,7
W5010640,172748,OXS274,13,N,,120.33,1225.7,Matlock Bridge 36 A0,8PQ3CV   A,1225.7,FL25.7P8BS,PROD,E*#5PDOX5,N,SYSTEM/LPC/P-DC-PAD,2025-02-01 17:51:12,2025-02-01 16:15:53,7
W5010640,187614,CVD271,25,N,,194.65,1225.7,Matlock Bridge 36 A0,8PQ3CV   A,1225.7,FL25.7P8BS,PROD,T*#5PADOX7,N,EMIB O5,2025-01-30 02:48:30,2025-01-29 23:46:45,7
W5010640,194997,SDJ111,25,N,8PQ3CAPAD0MA1,33.41,1225.7,Matlock Bridge 36 A0,8PQ3CV   A,1225.7,FL25.7P8BS,PROD,L #5PDSED7,N,"L-8690-50KD-B +?Product/8PQ3CA_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PQ3CAPAD0MA1,FULL0(EX=-1,FC=0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;SRCFW=D2;RESIST=AM;LinkMode=NoLotGene}",2025-01-30 15:44:11,2025-01-30 15:31:15,7
W5010640,197573,OXS266,13,N,,63.60,1225.7,Matlock Bridge 36 A0,8PQ3CV   A,1225.7,FL25.7P8BS,PROD,E*#5PDCAP7,N,SYSTEM/LPC/E-P2-EMIB2-CP88,2025-02-01 15:43:47,2025-02-01 15:14:16,7
W5010640,234511,CVD274,25,N,,102.95,1225.7,Matlock Bridge 36 A0,8PQ3CV   A,1225.7,FL25.7P8BS,PROD,T*#5TV1OXE,N,EMIB O9,2025-01-29 01:12:24,2025-01-28 23:37:41,7
W5010640A,172748,OXS258,12,N,,104.98,1225.7,Matlock Bridge 36 A0,8PQ3CV   A,1225.7,FL25.7P8BS_SNIP_WLP284152-2_0,PROD,E*#5PDOX5,N,SYSTEM/LPC/P-DC-PAD,2025-02-01 18:33:04,2025-02-01 17:13:19,7
