LOT,WAFER_ID,ENTITY,SLOT,CHAMBER,STATE,START_DATE,END_DATE,LOT_RECIPE,OPN
W5052010,GN8UN706SEC7,SDJ591,6,COT61,Completed,2025-02-19 04:49:30,2025-02-19 04:50:41,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN706SEC7,SDJ591,6,CPHP321,Completed,2025-02-19 04:56:23,2025-02-19 04:57:52,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN707SEH1,SDJ591,1,CADH415,Completed,2025-02-19 03:55:41,2025-02-19 03:56:27,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN707SEH1,SDJ591,1,CGCH613,Completed,2025-02-19 04:52:22,2025-02-19 04:54:27,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN707SEH1,SDJ591,1,COT63,Completed,2025-02-19 04:50:00,2025-02-19 04:51:10,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN707SEH1,SDJ591,1,CPHP322,Completed,2025-02-19 04:56:45,2025-02-19 04:58:14,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN708SEE0,SDJ591,25,CADH424,Completed,2025-02-19 03:55:49,2025-02-19 03:56:35,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN708SEE0,SDJ591,25,CGCH611,Completed,2025-02-19 04:53:44,2025-02-19 04:55:48,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN708SEE0,SDJ591,25,COT62,Completed,2025-02-19 04:50:12,2025-02-19 04:51:22,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN708SEE0,SDJ591,25,CPHP311,Completed,2025-02-19 04:58:05,2025-02-19 04:59:34,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN709SEA7,SDJ591,20,CADH425,Completed,2025-02-19 03:56:04,2025-02-19 03:56:49,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN709SEA7,SDJ591,20,CGCH612,Completed,2025-02-19 04:54:15,2025-02-19 04:56:20,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN709SEA7,SDJ591,20,COT64,Completed,2025-02-19 04:50:27,2025-02-19 04:51:38,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN709SEA7,SDJ591,20,CPHP312,Completed,2025-02-19 04:59:47,2025-02-19 05:01:16,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN711SEA7,SDJ591,11,CADH434,Completed,2025-02-19 03:58:48,2025-02-19 03:59:34,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN711SEA7,SDJ591,11,CGCH613,Completed,2025-02-19 04:54:29,2025-02-19 04:56:33,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN711SEA7,SDJ591,11,COT61,Completed,2025-02-19 04:51:50,2025-02-19 04:53:01,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN711SEA7,SDJ591,11,CPHP321,Completed,2025-02-19 04:59:57,2025-02-19 05:01:26,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN712SEF1,SDJ591,21,CADH435,Completed,2025-02-19 04:03:16,2025-02-19 04:04:01,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN712SEF1,SDJ591,21,CGCH611,Completed,2025-02-19 04:55:50,2025-02-19 04:57:54,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN712SEF1,SDJ591,21,COT63,Completed,2025-02-19 04:52:20,2025-02-19 04:53:31,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN712SEF1,SDJ591,21,CPHP322,Completed,2025-02-19 05:00:11,2025-02-19 05:01:41,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN713SEC0,SDJ591,19,CADH414,Completed,2025-02-19 04:07:41,2025-02-19 04:08:27,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN713SEC0,SDJ591,19,CGCH612,Completed,2025-02-19 04:56:22,2025-02-19 04:58:27,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN713SEC0,SDJ591,19,COT62,Completed,2025-02-19 04:52:34,2025-02-19 04:53:45,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN713SEC0,SDJ591,19,CPHP311,Completed,2025-02-19 05:01:15,2025-02-19 05:02:44,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN714SEG2,SDJ591,15,CADH415,Completed,2025-02-19 04:12:07,2025-02-19 04:12:53,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN714SEG2,SDJ591,15,CGCH613,Completed,2025-02-19 04:56:36,2025-02-19 04:58:40,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN714SEG2,SDJ591,15,COT64,Completed,2025-02-19 04:53:56,2025-02-19 04:55:07,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN714SEG2,SDJ591,15,CPHP312,Completed,2025-02-19 05:01:25,2025-02-19 05:02:54,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN715SED1,SDJ591,18,CADH424,Completed,2025-02-19 04:16:33,2025-02-19 04:17:19,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN715SED1,SDJ591,18,CGCH611,Completed,2025-02-19 04:57:56,2025-02-19 05:00:00,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN715SED1,SDJ591,18,COT61,Completed,2025-02-19 04:54:27,2025-02-19 04:55:38,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN715SED1,SDJ591,18,CPHP321,Completed,2025-02-19 05:02:18,2025-02-19 05:03:47,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN716SEA0,SDJ591,2,CADH425,Completed,2025-02-19 04:20:59,2025-02-19 04:21:45,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN716SEA0,SDJ591,2,CGCH612,Completed,2025-02-19 04:58:29,2025-02-19 05:00:33,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN716SEA0,SDJ591,2,COT63,Completed,2025-02-19 04:54:41,2025-02-19 04:55:51,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN716SEA0,SDJ591,2,CPHP322,Completed,2025-02-19 05:02:53,2025-02-19 05:04:22,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN717SEE2,SDJ591,16,CADH434,Completed,2025-02-19 04:25:25,2025-02-19 04:26:10,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
